date,open,high,low,close,volume,average,barCount
2023-03-17,4109.0,4539.25,4063.5,4077.5,-1.0,-1.0,-1
2023-03-20,4077.25,4110.5,4071.25,4108.0,-1.0,-1.0,-1
2023-03-21,4142.25,4164.25,4130.25,4164.25,-1.0,-1.0,-1
2023-03-22,4165.75,4578.0,4098.25,4102.25,-1.0,-1.0,-1
2023-03-23,4126.0,4168.0,4075.25,4110.5,-1.0,-1.0,-1
2023-03-24,4078.5,4548.75,4054.25,4548.75,-1.0,-1.0,-1
2023-03-27,4145.0,4552.5,4120.5,4552.5,-1.0,-1.0,-1
2023-03-28,4120.5,4128.0,4104.0,4127.0,-1.0,-1.0,-1
2023-03-29,4166.0,4583.25,4154.0,4583.25,-1.0,-1.0,-1
2023-03-30,4210.25,4214.25,4192.0,4212.25,-1.0,-1.0,-1
2023-03-31,4220.0,4602.0,4220.0,4268.75,-1.0,-1.0,-1
2023-04-03,4270.0,4293.0,4265.75,4289.0,-1.0,-1.0,-1
2023-04-04,4298.25,4620.25,4250.0,4265.5,-1.0,-1.0,-1
2023-04-05,4255.0,4615.75,4238.0,4612.75,-1.0,-1.0,-1
2023-04-06,4244.0,4268.0,4231.75,4268.0,-1.0,-1.0,-1
2023-04-10,4233.5,4618.75,4229.25,4268.25,-1.0,-1.0,-1
2023-04-11,4272.25,4618.75,4260.0,4268.0,-1.0,-1.0,-1
2023-04-12,4267.25,4267.25,4267.25,4267.25,-1.0,-1.0,-1
2023-04-14,4300.75,4300.75,4300.75,4300.75,-1.0,-1.0,-1
2023-04-17,4299.5,4320.0,4055.0,4320.0,-1.0,-1.0,-1
2023-04-18,4333.5,4333.5,4065.5,4318.5,-1.0,-1.0,-1
2023-04-19,4300.75,4546.25,4300.75,4300.75,-1.0,-1.0,-1
2023-04-20,4287.0,4539.25,4061.25,4297.0,-1.0,-1.0,-1
2023-04-21,4298.25,4300.75,4278.0,4300.75,-1.0,-1.0,-1
2023-04-24,4297.5,4305.5,4285.25,4301.5,-1.0,-1.0,-1
2023-04-25,4300.75,4528.0,4035.75,4300.75,-1.0,-1.0,-1
2023-04-26,4238.25,4300.75,4022.5,4300.75,-1.0,-1.0,-1
2023-04-27,4240.75,4539.25,4238.75,4299.75,-1.0,-1.0,-1
2023-04-28,4284.5,4554.25,4069.75,4300.75,-1.0,-1.0,-1
2023-05-01,4328.5,4347.0,4077.75,4325.75,-1.0,-1.0,-1
2023-05-02,4321.0,4321.0,4051.25,4300.75,-1.0,-1.0,-1
2023-05-03,4283.0,4300.75,4041.25,4300.75,-1.0,-1.0,-1
2023-05-04,4235.75,4497.25,4021.25,4300.75,-1.0,-1.0,-1
2023-05-05,4300.75,4300.75,4300.75,4300.75,-1.0,-1.0,-1
2023-05-08,4288.75,4300.75,4055.5,4300.75,-1.0,-1.0,-1
2023-05-09,4268.75,4523.25,4264.5,4300.75,-1.0,-1.0,-1
2023-05-10,4297.5,4301.5,4247.25,4286.5,-1.0,-1.0,-1
2023-05-11,4273.25,4276.0,4051.25,4276.0,-1.0,-1.0,-1
2023-05-12,4290.25,4532.5,4044.0,4300.75,-1.0,-1.0,-1
2023-05-15,4282.0,4289.75,4051.0,4284.25,-1.0,-1.0,-1
2023-05-16,4273.75,4524.0,4257.25,4300.75,-1.0,-1.0,-1
2023-05-17,4279.5,4311.25,4262.75,4300.75,-1.0,-1.0,-1
2023-05-18,4303.5,4351.5,4071.5,4351.5,-1.0,-1.0,-1
2023-05-19,4357.25,4363.5,4300.75,4300.75,-1.0,-1.0,-1
2023-05-22,4330.75,4549.5,4300.75,4300.75,-1.0,-1.0,-1
2023-05-23,4312.75,4321.25,4060.0,4300.75,-1.0,-1.0,-1
2023-05-24,4264.0,4300.75,4039.5,4274.0,-1.0,-1.0,-1
2023-05-25,4285.5,4524.25,4057.0,4300.75,-1.0,-1.0,-1
2023-05-26,4293.0,4531.25,4075.0,4300.75,-1.0,-1.0,-1
2023-05-30,4388.5,4586.25,4300.75,4300.75,-1.0,-1.0,-1
2023-05-31,4363.75,4578.25,4300.75,4300.75,-1.0,-1.0,-1
2023-06-01,4359.5,4572.25,4083.5,4300.75,-1.0,-1.0,-1
2023-06-02,4424.75,4467.5,4135.5,4300.75,-1.0,-1.0,-1
2023-06-05,4468.0,4630.25,4135.0,4455.25,-1.0,-1.0,-1
2023-06-06,4450.25,4628.5,4300.75,4300.75,-1.0,-1.0,-1
2023-06-08,4463.0,4475.25,4459.25,4472.5,-1.0,-1.0,-1
2023-06-09,4481.75,4506.0,4429.0,4429.0,-1.0,-1.0,-1
2023-06-12,4494.75,4529.0,4488.5,4525.25,-1.0,-1.0,-1
2023-06-13,4534.75,4555.0,4529.5,4552.0,-1.0,-1.0,-1
2023-06-14,4552.25,4580.25,4521.5,4563.5,-1.0,-1.0,-1
2023-06-15,4545.75,4628.5,4545.5,4605.25,-1.0,-1.0,-1
2023-06-16,4626.5,4626.5,4493.0,4493.0,-1.0,-1.0,-1
2023-06-20,4577.25,4582.5,4552.5,4573.5,-1.0,-1.0,-1
2023-06-21,4562.75,4579.25,4490.0,4490.0,-1.0,-1.0,-1
2023-06-22,4540.0,4571.0,4539.0,4566.75,-1.0,-1.0,-1
2023-06-23,4528.0,4547.75,4522.75,4528.25,-1.0,-1.0,-1
2023-06-26,4524.5,4544.5,4511.75,4516.25,-1.0,-1.0,-1
2023-06-27,4520.5,4567.5,4517.0,4559.0,-1.0,-1.0,-1
2023-06-28,4550.25,4572.75,4542.5,4569.0,-1.0,-1.0,-1
2023-06-29,4561.5,4587.75,4469.75,4584.25,-1.0,-1.0,-1
2023-06-30,4618.0,4647.25,4496.25,4509.5,-1.0,-1.0,-1
2023-07-03,4634.25,4642.0,4500.75,4642.0,-1.0,-1.0,-1
2023-07-05,4620.0,4638.25,4617.25,4634.25,-1.0,-1.0,-1
2023-07-06,4587.25,4598.25,4567.0,4590.0,-1.0,-1.0,-1
2023-07-07,4587.75,4623.5,4580.75,4584.75,-1.0,-1.0,-1
2023-07-10,4577.0,4597.5,4573.0,4592.25,-1.0,-1.0,-1
2023-07-11,4599.25,4627.0,4590.0,4618.75,-1.0,-1.0,-1
2023-07-12,4655.75,4667.0,4646.0,4657.75,-1.0,-1.0,-1
2023-07-13,4671.5,4699.0,4667.5,4680.25,-1.0,-1.0,-1
2023-07-14,4697.5,4710.75,4529.25,4684.5,-1.0,-1.0,-1
2023-07-17,4570.0,4570.0,4570.0,4570.0,-1.0,-1.0,-1
2023-07-18,4570.0,4570.0,4570.0,4570.0,-1.0,-1.0,-1
2023-07-19,4747.0,4767.5,4563.25,4748.5,-1.0,-1.0,-1
2023-07-20,4736.5,4745.5,4555.25,4718.75,-1.0,-1.0,-1
2023-07-21,4733.5,4737.75,4570.0,4570.0,-1.0,-1.0,-1
2023-07-24,4729.0,4745.5,4560.5,4739.0,-1.0,-1.0,-1
2023-07-25,4733.25,4762.5,4733.0,4760.0,-1.0,-1.0,-1
2023-07-26,4743.0,4810.25,4557.5,4630.0,-1.0,-1.0,-1
2023-07-27,4786.0,4834.5,4630.0,4726.75,-1.0,-1.0,-1
2023-07-28,4752.5,4772.5,4571.75,4630.0,-1.0,-1.0,-1
2023-07-31,4772.0,4777.5,4572.25,4572.25,-1.0,-1.0,-1
2023-08-01,4756.0,4765.25,4572.25,4572.25,-1.0,-1.0,-1
2023-08-02,4724.75,4741.75,4533.75,4572.25,-1.0,-1.0,-1
2023-08-03,4670.5,4722.5,4527.5,4682.5,-1.0,-1.0,-1
2023-08-04,4695.5,4716.75,4516.25,4572.25,-1.0,-1.0,-1
2023-08-07,4671.75,4696.5,4531.0,4696.5,-1.0,-1.0,-1
2023-08-08,4665.25,4715.5,4638.0,4671.75,-1.0,-1.0,-1
2023-08-09,4673.75,4676.0,4633.0,4660.25,-1.0,-1.0,-1
2023-08-10,4662.25,4698.75,4662.0,4668.0,-1.0,-1.0,-1
2023-08-11,4620.25,4635.25,4614.5,4630.75,-1.0,-1.0,-1
2023-08-14,4617.25,4637.5,4616.0,4637.5,-1.0,-1.0,-1
2023-08-15,4632.25,4698.5,4599.75,4692.75,-1.0,-1.0,-1
2023-08-16,4600.5,4695.5,4600.0,4602.5,-1.0,-1.0,-1
2023-08-17,4585.75,4588.0,4527.25,4527.5,-1.0,-1.0,-1
2023-08-18,4503.75,4657.5,4500.25,4657.5,-1.0,-1.0,-1
2023-08-21,4544.25,4569.25,4527.0,4560.25,-1.0,-1.0,-1
2023-08-22,4579.75,4579.75,4549.5,4552.0,-1.0,-1.0,-1
2023-08-23,4559.75,4624.75,4559.75,4624.75,-1.0,-1.0,-1
2023-08-24,4613.5,4661.5,4549.25,4660.0,-1.0,-1.0,-1
2023-08-25,4665.0,4672.5,4517.5,4650.0,-1.0,-1.0,-1
2023-08-28,4588.25,4689.5,4568.5,4594.0,-1.0,-1.0,-1
2023-08-29,4557.75,4712.5,4557.75,4656.5,-1.0,-1.0,-1
2023-08-30,4661.0,4678.0,4653.25,4677.0,-1.0,-1.0,-1
2023-08-31,4677.25,4691.25,4598.5,4671.0,-1.0,-1.0,-1
2023-09-01,4650.0,4711.75,4592.25,4650.0,-1.0,-1.0,-1
2023-09-05,4671.0,4731.0,4585.0,4650.0,-1.0,-1.0,-1
2023-09-06,4646.75,4718.0,4565.25,4650.0,-1.0,-1.0,-1
2023-09-07,4590.25,4677.25,4557.5,4625.0,-1.0,-1.0,-1
2023-09-08,4625.0,4685.25,4560.25,4625.0,-1.0,-1.0,-1
2023-09-11,4643.75,4651.25,4626.0,4644.5,-1.0,-1.0,-1
2023-09-12,4632.0,4682.25,4570.5,4617.5,-1.0,-1.0,-1
2023-09-13,4621.0,4683.5,4558.25,4636.75,-1.0,-1.0,-1
2023-09-14,4647.75,4700.5,4634.5,4700.25,-1.0,-1.0,-1
2023-09-15,4641.25,4644.75,4553.75,4582.5,-1.0,-1.0,-1
2023-09-18,4599.75,4619.75,4581.0,4607.0,-1.0,-1.0,-1
2023-09-19,4595.25,4601.25,4550.25,4600.0,-1.0,-1.0,-1
2023-09-20,4608.75,4612.25,4548.5,4597.5,-1.0,-1.0,-1
2023-09-21,4519.0,4521.75,4447.25,4465.25,-1.0,-1.0,-1
2023-09-22,4484.5,4504.25,4453.0,4504.25,-1.0,-1.0,-1
2023-09-25,4449.0,4523.0,4444.25,4504.25,-1.0,-1.0,-1
2023-09-26,4446.75,4454.75,4388.75,4390.25,-1.0,-1.0,-1
2023-09-27,4425.75,4431.5,4376.75,4422.0,-1.0,-1.0,-1
2023-09-28,4407.0,4456.5,4387.25,4440.0,-1.0,-1.0,-1
2023-09-29,4470.25,4471.5,4410.75,4432.5,-1.0,-1.0,-1
2023-10-02,4417.5,4453.5,4394.75,4425.5,-1.0,-1.0,-1
2023-10-03,4400.5,4420.75,4323.0,4330.0,-1.0,-1.0,-1
2023-10-04,4367.5,4401.75,4327.5,4383.5,-1.0,-1.0,-1
2023-10-05,4388.5,4398.5,4354.75,4393.5,-1.0,-1.0,-1
2023-10-06,4363.5,4458.75,4349.5,4412.0,-1.0,-1.0,-1
2023-10-09,4420.0,4475.25,4414.75,4459.5,-1.0,-1.0,-1
2023-10-10,4476.25,4519.75,4417.0,4496.25,-1.0,-1.0,-1
2023-10-11,4503.25,4519.75,4412.5,4430.75,-1.0,-1.0,-1
2023-10-12,4515.75,4519.25,4455.75,4461.0,-1.0,-1.0,-1
2023-10-13,4495.75,4508.0,4440.0,4449.5,-1.0,-1.0,-1
2023-10-16,4480.5,4515.75,4478.0,4487.0,-1.0,-1.0,-1
2023-10-17,4470.5,4525.75,4467.0,4503.5,-1.0,-1.0,-1
2023-10-18,4483.75,4494.0,4431.5,4461.0,-1.0,-1.0,-1
2023-10-19,4447.5,4465.75,4390.75,4411.75,-1.0,-1.0,-1
2023-10-20,4393.75,4399.25,4336.75,4342.0,-1.0,-1.0,-1
2023-10-23,4326.75,4377.0,4308.5,4337.5,-1.0,-1.0,-1
2023-10-24,4358.0,4383.25,4322.0,4370.75,-1.0,-1.0,-1
2023-10-25,4349.75,4358.75,4299.25,4311.25,-1.0,-1.0,-1
2023-10-26,4290.5,4299.0,4236.75,4279.25,-1.0,-1.0,-1
2023-10-27,4265.5,4269.0,4188.5,4193.25,-1.0,-1.0,-1
2023-10-30,4258.75,4290.5,4245.0,4288.75,-1.0,-1.0,-1
2023-10-31,4285.5,4309.5,4202.5,4299.0,-1.0,-1.0,-1
2023-11-01,4315.75,4363.25,4298.0,4337.5,-1.0,-1.0,-1
2023-11-02,4389.5,4439.25,4383.25,4400.0,-1.0,-1.0,-1
2023-11-03,4455.75,4488.5,4440.5,4485.5,-1.0,-1.0,-1
2023-11-06,4480.25,4530.0,4461.5,4530.0,-1.0,-1.0,-1
2023-11-07,4481.75,4512.25,4469.75,4506.5,-1.0,-1.0,-1
2023-11-08,4500.75,4507.75,4473.0,4507.75,-1.0,-1.0,-1
2023-11-09,4508.0,4508.25,4440.75,4441.0,-1.0,-1.0,-1
2023-11-10,4482.25,4550.25,4465.75,4548.5,-1.0,-1.0,-1
2023-11-13,4515.5,4542.5,4507.25,4532.0,-1.0,-1.0,-1
2023-11-14,4586.5,4624.25,4584.0,4619.0,-1.0,-1.0,-1
2023-11-15,4624.5,4637.75,4611.5,4614.0,-1.0,-1.0,-1
2023-11-16,4613.0,4631.5,4601.75,4624.25,-1.0,-1.0,-1
2023-11-17,4622.75,4634.5,4613.0,4628.0,-1.0,-1.0,-1
2023-11-20,4624.75,4672.5,4624.5,4662.5,-1.0,-1.0,-1
2023-11-21,4651.0,4660.0,4638.25,4650.0,-1.0,-1.0,-1
2023-11-22,4668.0,4682.5,4657.25,4662.25,-1.0,-1.0,-1
2023-11-24,4668.25,4673.25,4657.75,4664.0,-1.0,-1.0,-1
2023-11-27,4663.25,4672.25,4656.0,4665.5,-1.0,-1.0,-1
2023-11-28,4657.25,4679.0,4648.5,4664.0,-1.0,-1.0,-1
2023-11-29,4687.5,4698.0,4656.25,4671.0,-1.0,-1.0,-1
2023-11-30,4667.0,4680.25,4645.0,4664.25,-1.0,-1.0,-1
2023-12-01,4669.25,4708.0,4654.75,4700.0,-1.0,-1.0,-1
2023-12-04,4666.25,4683.75,4654.0,4673.75,-1.0,-1.0,-1
2023-12-05,4662.25,4686.25,4651.0,4675.75,-1.0,-1.0,-1
2023-12-06,4698.25,4698.25,4652.0,4653.0,-1.0,-1.0,-1
2023-12-07,4676.75,4696.75,4670.25,4683.0,-1.0,-1.0,-1
2023-12-08,4682.75,4717.5,4680.25,4715.25,-1.0,-1.0,-1
2023-12-11,4707.5,4731.75,4705.0,4727.25,-1.0,-1.0,-1
2023-12-12,4724.75,4753.5,4714.25,4749.75,-1.0,-1.0,-1
2023-12-13,4752.5,4815.75,4748.5,4800.0,-1.0,-1.0,-1
2023-12-14,4830.5,4842.5,4797.25,4823.0,-1.0,-1.0,-1
2023-12-15,4819.25,4831.5,4808.75,4821.25,-1.0,-1.0,-1
2023-12-18,4833.75,4854.5,4832.0,4842.5,-1.0,-1.0,-1
2023-12-19,4849.25,4873.5,4848.5,4870.0,-1.0,-1.0,-1
2023-12-20,4862.25,4882.75,4794.25,4804.0,-1.0,-1.0,-1
2023-12-21,4832.5,4849.5,4806.5,4847.0,-1.0,-1.0,-1
2023-12-22,4857.75,4873.0,4835.5,4850.25,-1.0,-1.0,-1
2023-12-26,4859.75,4886.0,4858.75,4878.75,-1.0,-1.0,-1
2023-12-27,4873.75,4887.75,4867.75,4886.25,-1.0,-1.0,-1
2023-12-28,4883.5,4891.5,4879.5,4884.75,-1.0,-1.0,-1
2023-12-29,4879.75,4886.5,4847.75,4864.0,-1.0,-1.0,-1
2024-01-02,4835.0,4848.75,4816.75,4839.5,-1.0,-1.0,-1
2024-01-03,4815.5,4822.75,4792.25,4799.5,-1.0,-1.0,-1
2024-01-04,4791.25,4818.5,4779.0,4784.25,-1.0,-1.0,-1
2024-01-05,4782.25,4812.0,4771.5,4786.75,-1.0,-1.0,-1
2024-01-08,4790.75,4856.0,4789.5,4850.5,-1.0,-1.0,-1
2024-01-09,4825.5,4856.75,4820.0,4843.5,-1.0,-1.0,-1
2024-01-10,4847.75,4881.25,4844.75,4872.75,-1.0,-1.0,-1
2024-01-11,4880.0,4885.25,4825.0,4864.25,-1.0,-1.0,-1
2024-01-12,4881.25,4888.75,4854.0,4863.5,-1.0,-1.0,-1
2024-01-16,4853.75,4867.75,4831.75,4852.0,-1.0,-1.0,-1
2024-01-17,4819.0,4828.5,4798.75,4822.0,-1.0,-1.0,-1
2024-01-18,4838.75,4870.0,4822.5,4864.5,-1.0,-1.0,-1
